,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.9538888889,0.5666666667,0.9969135802,0.7065410661,0.7488733027000001,0.3333333333,0.7817901235
1,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.3655555556,0.5222222222,0.3481481481,0.1412928055,0.4259006201,0.5,0.4351851852
2,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.7688888889000001,0.0944444444,0.8438271605000001,0.075891567,0.2821244276,0.5,0.4691358025
3,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.4955555556,0.2555555556,0.5222222222,0.0919335166,0.3650451411,0.3333333333,0.3888888889
4,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.5700000000000001,0.4166666667,0.587037037,0.1622222222,0.4940965594,0.5,0.5018518519
5,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.2705555556,0.7388888889,0.2185185185,0.1676533119,0.3984525686,0.6666666667000001,0.4787037037
6,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.515,0.2888888889,0.5401234568000001,0.1061558453,0.393197519,0.5,0.4145061728
7,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.7938888889,0.1944444444,0.8604938272,0.1548654244,0.399372184,0.3333333333,0.5274691358
8,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.4966666667,0.0388888889,0.5475308642,0.0152525058,0.1453052447,0.0,0.2932098765
9,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9533333333,0.5611111111,0.9969135802,0.7034013605,0.7460206805,0.3333333333,0.7790123457
10,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.3822222222,0.4277777778,0.3771604938,0.1213382293,0.3996898015,0.5,0.4024691358
11,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.9,0.0,1.0,0.0,0.0,0.0,0.5
12,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.5094444444,0.2333333333,0.5401234568000001,0.0866802412,0.354250809,0.3333333333,0.3867283951
13,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,2,0.595,0.3111111111,0.6265432099,0.1326675418,0.4400084821,0.5,0.4688271605
14,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,3,0.9,0.0,1.0,0.0,0.0,0.0,0.5
15,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,1,0.5005555556,0.2888888889,0.5240740741000001,0.1033023509,0.3871486285,0.5,0.4064814815
16,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,2,0.7655555556,0.1944444444,0.8290123457,0.1394802455,0.3921189067,0.1666666667,0.5117283951
17,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,3,0.48,0.0444444444,0.5283950617000001,0.0168803419,0.1512470062,0.1666666667,0.2864197531
18,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,1,0.9533333333,0.5722222222000001,0.9956790123,0.7066666667,0.7525496783000001,0.3333333333,0.7839506173
19,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,2,0.3738888889,0.5,0.3598765432,0.1374592664,0.4229887363,0.5,0.4299382716
20,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,3,0.7794444444,0.0944444444,0.8555555556000001,0.0792179123,0.2840721288,0.3333333333,0.475
21,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,1,0.4994444444,0.2388888889,0.5283950617000001,0.087037037,0.3548604022,0.3333333333,0.3836419753
22,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,2,0.5911111111,0.3166666667,0.6216049383000001,0.1333219501,0.4407174201,0.5,0.4691358025
23,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,3,0.9,0.0,1.0,0.0,0.0,0.0,0.5
24,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,1,0.5833333333,0.2833333333,0.6166666667,0.1190848886,0.4160666437,0.6666666667000001,0.45
25,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,2,0.725,0.2166666667,0.7814814815000001,0.1332066207,0.402000419,0.3333333333,0.4990740741
26,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,3,0.4538888889,0.0833333333,0.4950617284,0.0296150627,0.2031135446,0.1666666667,0.2891975309
27,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,1,0.9527777778,0.5722222222000001,0.9950617284,0.7044688645,0.7523419607,0.3333333333,0.7836419753
28,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,2,0.4755555556,0.5333333333,0.4691358025,0.1688428325,0.4996238642,0.5,0.5012345679
29,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,3,0.6411111111000001,0.2611111111,0.6833333333,0.1270421206,0.4222407924,0.6666666667000001,0.4722222222
30,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,1,0.4588888889,0.2777777778,0.4790123457,0.0930939489,0.3646403767,0.3333333333,0.3783950617
31,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,2,0.5516666667,0.2333333333,0.587037037,0.0943760202,0.3697590107,0.1666666667,0.4101851852
32,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,3,0.5583333333,0.5444444444000001,0.5598765432,0.1977734721,0.5520888509,0.1666666667,0.5521604938
33,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,1,0.5911111111,0.2222222222,0.6320987654,0.097583511,0.3719435212,0.5,0.4271604938
34,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,2,0.7744444444,0.2166666667,0.8364197531,0.1574675325,0.4160257671,0.3333333333,0.5265432099
35,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,3,0.3594444444,0.0555555556,0.3932098765,0.0169521189,0.1456827599,0.3333333333,0.224382716
36,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,32,1,1,0.9511111111,0.5555555556,0.9950617284,0.6909090909000001,0.7411631218,0.3333333333,0.775308642
37,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,32,1,2,0.36,0.45,0.35,0.1229774132,0.3948078076,0.5,0.4
38,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,32,1,3,0.1,1.0,0.0,0.1818181818,0.0,1.0,0.5
39,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,32,2,1,0.4444444444,0.2277777778,0.4685185185,0.0754306531,0.3236509949,0.3333333333,0.3481481481
40,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,32,2,2,0.5683333333,0.6000000000000001,0.5648148148000001,0.2173376324,0.5816232501,0.3333333333,0.5824074074000001
41,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,32,2,3,0.48,0.5722222222000001,0.4697530864,0.1802787862,0.5177208986,0.5,0.5209876543
42,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,32,3,1,0.6461111111,0.2222222222,0.6932098765,0.1103786257,0.388948587,0.5,0.4577160494
43,SVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,32,3,2,0.6977777778,0.2944444444,0.7425925926,0.1623490946,0.4650052017,0.6666666667000001,0.5185185185
